epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,313.563,0.83847,0.79227,1.06263,0.98091,0.90323,0.96446,0.63021,1.20413,1.02119,1.1761,0.0015842,0.0015842,0.0015842
23,331.472,0.85979,0.83106,1.08507,0.96757,0.96249,0.97953,0.60087,1.24581,1.10031,1.19257,0.0015644,0.0015644,0.0015644
24,348.748,0.84697,0.80409,1.0246,0.95732,0.96774,0.97711,0.64424,1.18706,0.96253,1.17687,0.0015446,0.0015446,0.0015446
25,364.529,0.84774,0.78979,1.03874,0.93697,0.95932,0.97471,0.61792,1.23671,0.98451,1.27347,0.0015248,0.0015248,0.0015248
26,381.965,0.83219,0.71994,1.0898,0.96085,0.79191,0.95609,0.59453,1.34962,1.1388,1.36036,0.001505,0.001505,0.001505
27,396.166,0.81735,0.71793,1.04705,0.9276,0.82686,0.9269,0.60797,1.21447,1.2463,1.2579,0.0014852,0.0014852,0.0014852
28,410.415,0.75915,0.80399,0.96301,0.96295,0.83831,0.91925,0.56927,1.25746,1.05086,1.31606,0.0014654,0.0014654,0.0014654
29,427.306,0.94222,0.77231,1.05622,0.99312,0.80645,0.87586,0.55467,1.28765,1.09118,1.299,0.0014456,0.0014456,0.0014456
30,444.952,0.805,0.71992,1.03029,0.9904,0.6129,0.78453,0.5204,1.2108,1.43345,1.26444,0.0014258,0.0014258,0.0014258
31,464.829,0.79024,0.67299,1.03878,0.93103,0.64516,0.83555,0.54095,1.22022,1.34152,1.2573,0.001406,0.001406,0.001406
32,482.92,0.72372,0.64122,0.98952,0.96245,0.90323,0.95616,0.63239,1.23097,0.88531,1.25137,0.0013862,0.0013862,0.0013862
33,500.224,0.79469,0.66078,1.01994,0.95612,0.80645,0.91045,0.60472,1.15845,0.94969,1.21622,0.0013664,0.0013664,0.0013664
34,518.986,0.74843,0.62268,0.99919,1,0.73069,0.88024,0.58628,1.21146,1.0302,1.22518,0.0013466,0.0013466,0.0013466
35,534.915,0.85612,0.68355,1.09436,0.99861,0.74194,0.87186,0.54885,1.26448,1.04969,1.2415,0.0013268,0.0013268,0.0013268
36,551.576,0.77381,0.6036,1.07363,0.9571,0.80645,0.90525,0.57402,1.25751,0.93818,1.26343,0.001307,0.001307,0.001307
37,568.075,0.69761,0.60932,1.01067,0.90181,0.87097,0.9359,0.55418,1.34442,0.97807,1.3292,0.0012872,0.0012872,0.0012872
38,584.191,0.72604,0.60233,1.01786,0.93173,0.8807,0.94304,0.56737,1.33729,1.01253,1.32425,0.0012674,0.0012674,0.0012674
39,600.01,0.74325,0.5786,0.99119,0.90635,0.93661,0.96688,0.60263,1.24376,0.82563,1.25907,0.0012476,0.0012476,0.0012476
40,615.17,0.7536,0.62192,1.04565,0.96654,0.93205,0.96752,0.61673,1.25231,0.77808,1.27416,0.0012278,0.0012278,0.0012278
41,631.146,0.84078,0.63708,1.03331,0.96058,0.78638,0.92107,0.5769,1.37006,0.98753,1.32454,0.001208,0.001208,0.001208
42,646.82,0.76596,0.61512,1.00901,0.95564,0.80645,0.89054,0.57013,1.26724,0.95981,1.30195,0.0011882,0.0011882,0.0011882
43,661.902,0.82685,0.62597,1.07731,0.95898,0.80645,0.87491,0.55133,1.28149,1.03282,1.32114,0.0011684,0.0011684,0.0011684
44,678.858,0.80608,0.63189,1.05095,0.9483,0.83871,0.8756,0.53101,1.35838,1.0605,1.33264,0.0011486,0.0011486,0.0011486
