epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2646,1.09233,3.06124,1.3455,0.00333,1,0.76732,0.55986,0.98665,2.81881,1.01145,0.0003,0.0003,0.0003
2,26.4281,0.91537,1.91419,1.10791,1,0.29689,0.73184,0.43233,1.14007,2.79751,1.1137,0.000613862,0.000613862,0.000613862
3,38.5713,0.9572,1.56162,1.11693,1,0.6641,0.84101,0.56174,1.16795,2.34171,1.12396,0.000921388,0.000921388,0.000921388
4,51.2898,0.91611,1.60442,1.11992,0.88651,0.64516,0.72208,0.45243,1.23523,2.40851,1.22219,0.00122258,0.00122258,0.00122258
5,64.8193,0.87569,1.36861,1.04753,0.99944,0.67742,0.85678,0.51952,1.2865,2.09016,1.42955,0.00151743,0.00151743,0.00151743
6,78.1977,0.91491,1.85146,1.10376,0.88298,0.7305,0.7947,0.48371,1.21148,1.97906,1.25988,0.00180595,0.00180595,0.00180595
7,91.5513,0.944,1.31489,1.10144,0.80081,0.77823,0.83481,0.55722,1.07828,1.97677,1.16456,0.0018812,0.0018812,0.0018812
8,104.822,0.86248,1.63959,1.04264,0.69749,0.54839,0.57563,0.34913,1.36886,2.71612,1.30102,0.0018614,0.0018614,0.0018614
9,118.195,0.91667,1.21431,1.08783,0.80243,0.6129,0.70815,0.49413,1.05969,3.01243,1.11542,0.0018416,0.0018416,0.0018416
10,131.562,0.94323,1.16365,1.14073,0.9813,0.87097,0.96455,0.61308,1.30709,2.43025,1.30771,0.0018218,0.0018218,0.0018218
11,144.879,0.92028,1.23012,1.11135,0.896,0.83385,0.93813,0.58365,1.32157,1.49946,1.33923,0.001802,0.001802,0.001802
12,158.153,0.88692,1.10042,1.08817,0.93564,0.90323,0.97101,0.60333,1.29196,1.4101,1.3362,0.0017822,0.0017822,0.0017822
13,171.281,0.86262,1.10395,1.05112,0.93097,0.87015,0.93867,0.5952,1.18692,1.27488,1.25175,0.0017624,0.0017624,0.0017624
14,184.741,0.86846,1.06381,1.0537,0.93293,0.89755,0.94347,0.5935,1.23422,1.35922,1.32445,0.0017426,0.0017426,0.0017426
15,198.166,0.79447,0.9391,1.0582,0.93513,0.93015,0.95568,0.60473,1.2568,1.2217,1.34093,0.0017228,0.0017228,0.0017228
16,211.411,0.7677,0.89364,1.03068,0.89696,0.93548,0.95646,0.61657,1.28012,1.12243,1.33973,0.001703,0.001703,0.001703
17,228.344,0.82407,0.90507,1.0594,0.937,0.74194,0.89242,0.56563,1.31959,1.39006,1.25694,0.0016832,0.0016832,0.0016832
18,246.492,0.89226,1.00553,1.17718,0.95391,0.83871,0.9395,0.57169,1.36581,1.13017,1.30097,0.0016634,0.0016634,0.0016634
19,263.967,0.90223,0.93186,1.06137,0.92096,0.90323,0.94311,0.58527,1.28073,1.152,1.28602,0.0016436,0.0016436,0.0016436
20,280.526,0.82972,0.86409,1.06039,0.97967,0.83871,0.95421,0.58264,1.26697,1.15446,1.2476,0.0016238,0.0016238,0.0016238
21,296.987,0.84114,0.80631,1.04269,0.93462,0.92246,0.96738,0.63595,1.1837,1.12372,1.19255,0.001604,0.001604,0.001604
