epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5523,1.08439,2.99699,1.30998,0.74974,0.22857,0.22554,0.14049,1.53352,4.26897,1.02139,0.00034,0.00034,0.00034
2,28.624,1.02474,1.85428,1.19335,1,0.24061,0.37189,0.21573,1.74743,3.99759,1.03783,0.00069307,0.00069307,0.00069307
3,42.5039,0.94406,1.36049,1.09724,0.71913,0.34286,0.32268,0.18703,1.91144,4.08537,1.09526,0.00103901,0.00103901,0.00103901
4,57.9096,0.99003,1.35046,1.15901,0.96652,0.34286,0.35724,0.22704,1.67428,4.00352,1.07453,0.00137783,0.00137783,0.00137783
5,73.4778,0.99683,1.31903,1.17319,0.73647,0.34286,0.3119,0.19689,1.82529,3.986,1.08567,0.00170951,0.00170951,0.00170951
6,88.9196,1.06853,1.43438,1.18,0.60072,0.22857,0.23866,0.13593,1.87977,4.2853,1.10297,0.001901,0.001901,0.001901
7,104.275,1.03263,1.34763,1.2175,0.39905,0.2,0.22029,0.08783,2.05956,9.59619,1.18812,0.0018812,0.0018812,0.0018812
8,119.602,1.07621,1.31914,1.1794,0.57611,0.4,0.40743,0.26698,2.02035,5.12392,1.14022,0.0018614,0.0018614,0.0018614
9,135.082,0.93982,1.25938,1.12818,0.98492,0.45714,0.54784,0.30878,2.09712,3.52579,1.17046,0.0018416,0.0018416,0.0018416
10,150.691,0.95651,1.09286,1.13444,0.53051,0.4,0.44721,0.28345,1.89423,8.1294,1.17263,0.0018218,0.0018218,0.0018218
11,166.228,1.09366,1.32059,1.24436,1,0.42418,0.52196,0.31555,2.01099,4.26583,1.19952,0.001802,0.001802,0.001802
12,181.918,1.01707,1.1268,1.19573,0.324,0.51429,0.39357,0.22873,1.95516,5.48969,1.18748,0.0017822,0.0017822,0.0017822
13,197.231,0.96761,1.03285,1.13345,0.95008,0.45714,0.61801,0.35015,2.04513,4.36818,1.1921,0.0017624,0.0017624,0.0017624
14,212.69,0.94033,1.09096,1.15534,0.96696,0.48571,0.57247,0.34196,2.03856,3.44604,1.24247,0.0017426,0.0017426,0.0017426
15,227.885,0.99748,1.02186,1.21666,0.93969,0.6,0.69661,0.37373,2.21195,2.21595,1.36141,0.0017228,0.0017228,0.0017228
16,243.583,1.01877,1.07541,1.20957,0.90298,0.62857,0.77831,0.3974,2.19309,2.12154,1.35672,0.001703,0.001703,0.001703
17,259.273,0.99147,0.99437,1.19139,0.96162,0.62857,0.7638,0.39614,2.23589,2.59524,1.4047,0.0016832,0.0016832,0.0016832
18,274.963,0.98387,0.88444,1.15741,0.881,0.63475,0.75896,0.38854,2.14164,1.96382,1.30169,0.0016634,0.0016634,0.0016634
19,290.474,0.9719,0.88732,1.1469,0.78181,0.62857,0.6905,0.39556,1.99147,2.43281,1.21425,0.0016436,0.0016436,0.0016436
20,306.061,0.90599,0.84796,1.0989,0.87471,0.45714,0.55554,0.32701,2.01455,2.68536,1.20295,0.0016238,0.0016238,0.0016238
21,321.476,0.95066,0.8611,1.10708,0.95784,0.64942,0.71039,0.3986,1.89962,2.63027,1.18604,0.001604,0.001604,0.001604
22,337.067,0.95723,0.91313,1.15344,0.9249,0.68571,0.71785,0.38489,1.86255,1.94939,1.155,0.0015842,0.0015842,0.0015842
23,352.061,0.91188,0.81939,1.09947,0.98359,0.51429,0.60331,0.35013,1.99378,2.75963,1.19528,0.0015644,0.0015644,0.0015644
24,367.143,0.85642,0.79598,1.11067,1,0.39787,0.52169,0.30668,2.01263,3.21781,1.17069,0.0015446,0.0015446,0.0015446
25,382.158,0.91339,0.81143,1.15386,0.95187,0.56531,0.69049,0.3647,2.12501,2.20719,1.20781,0.0015248,0.0015248,0.0015248
26,396.898,0.9079,0.75576,1.08637,0.86987,0.57304,0.73214,0.36164,2.13151,2.18314,1.21078,0.001505,0.001505,0.001505
27,411.866,0.91244,0.7667,1.14065,0.99048,0.51429,0.66057,0.3676,2.04335,2.16966,1.22144,0.0014852,0.0014852,0.0014852
28,427.075,0.89951,0.7737,1.07852,0.93567,0.6,0.68858,0.34863,1.99462,2.16663,1.21352,0.0014654,0.0014654,0.0014654
29,442.3,0.91619,0.72648,1.09764,0.95637,0.6264,0.74273,0.39946,1.95179,1.9306,1.17966,0.0014456,0.0014456,0.0014456
30,458.09,0.94413,0.71624,1.12176,0.94604,0.6,0.72919,0.40535,2.02267,1.83476,1.19097,0.0014258,0.0014258,0.0014258
31,473.294,0.85735,0.66901,1.07949,0.88653,0.51429,0.66105,0.3896,2.02936,1.9135,1.19527,0.001406,0.001406,0.001406
32,488.528,0.89427,0.68484,1.0932,0.83686,0.48571,0.59457,0.34959,1.92452,2.09253,1.17486,0.0013862,0.0013862,0.0013862
33,503.835,0.85964,0.68854,1.09361,0.65162,0.48571,0.47054,0.28513,1.92061,2.69477,1.15065,0.0013664,0.0013664,0.0013664
34,519.19,0.81943,0.66033,1.05583,0.81261,0.62857,0.69599,0.40199,1.99849,1.70803,1.15837,0.0013466,0.0013466,0.0013466
35,534.113,0.87144,0.68242,1.07398,0.87942,0.65714,0.78944,0.42884,2.18309,1.57422,1.20018,0.0013268,0.0013268,0.0013268
36,549.433,0.85897,0.6813,1.10001,0.94747,0.51534,0.70102,0.39012,2.22549,2.23574,1.22212,0.001307,0.001307,0.001307
37,564.517,0.78901,0.66287,1.05976,1,0.45139,0.63423,0.3736,2.17925,2.05376,1.22755,0.0012872,0.0012872,0.0012872
38,580.239,0.81094,0.64454,1.04839,1,0.45498,0.58292,0.34934,2.13991,2.20048,1.22263,0.0012674,0.0012674,0.0012674
39,599.634,0.77673,0.58496,1.01243,0.92151,0.45714,0.59402,0.3325,2.13125,2.09995,1.22764,0.0012476,0.0012476,0.0012476
40,618.138,0.85847,0.66336,1.07789,0.97816,0.54286,0.68308,0.36044,2.16754,1.74426,1.25369,0.0012278,0.0012278,0.0012278
41,637.823,0.82548,0.5918,1.04706,0.99375,0.54286,0.69425,0.34022,2.12811,1.86989,1.26164,0.001208,0.001208,0.001208
42,659.687,0.81188,0.58482,1.04439,1,0.59063,0.71128,0.38333,2.01596,1.79632,1.23488,0.0011882,0.0011882,0.0011882
43,677.884,0.76677,0.59774,1.06275,0.87867,0.62098,0.72101,0.39462,2.01999,1.68412,1.21926,0.0011684,0.0011684,0.0011684
44,696.239,0.79588,0.59515,1.04511,0.8826,0.62857,0.71716,0.36526,2.1383,1.56526,1.23132,0.0011486,0.0011486,0.0011486
45,715.717,0.87022,0.58774,1.09952,0.90605,0.62857,0.67769,0.36102,2.10372,1.72046,1.21021,0.0011288,0.0011288,0.0011288
46,734.789,0.86534,0.61594,1.06454,1,0.59512,0.66288,0.38248,1.94607,1.88902,1.15435,0.001109,0.001109,0.001109
47,754.617,0.79587,0.57629,1.04877,0.9304,0.62857,0.68655,0.39037,1.96692,1.77699,1.14974,0.0010892,0.0010892,0.0010892
48,774.158,0.8848,0.60034,1.10097,0.918,0.65714,0.74066,0.41766,2.0782,1.44947,1.17139,0.0010694,0.0010694,0.0010694
49,792.536,0.80876,0.59563,1.06954,0.96376,0.62857,0.7745,0.43547,2.06532,1.38531,1.16379,0.0010496,0.0010496,0.0010496
50,809.79,0.79751,0.60073,1.05317,0.85997,0.70209,0.77616,0.43028,1.97524,1.47302,1.15299,0.0010298,0.0010298,0.0010298
51,826.978,0.73536,0.53729,1.01138,0.89478,0.72916,0.7705,0.43438,1.95561,1.53718,1.14463,0.00101,0.00101,0.00101
52,844.431,0.76375,0.53808,1.02653,0.80108,0.68571,0.73323,0.41005,1.98408,1.59308,1.16052,0.0009902,0.0009902,0.0009902
53,862.2,0.77211,0.55081,1.08592,0.7379,0.64374,0.68326,0.38811,1.99978,1.65067,1.16196,0.0009704,0.0009704,0.0009704
54,882.713,0.8139,0.55346,1.06294,0.98841,0.6,0.73982,0.39933,2.19174,1.55228,1.19216,0.0009506,0.0009506,0.0009506
55,901.983,0.78026,0.54559,1.0029,0.98238,0.65714,0.75813,0.39123,2.22044,1.463,1.19684,0.0009308,0.0009308,0.0009308
56,920.242,0.78884,0.55912,1.02296,0.99237,0.62857,0.76213,0.42598,2.09896,1.41529,1.16021,0.000911,0.000911,0.000911
57,938.83,0.77227,0.58124,1.07609,0.7512,0.60397,0.72905,0.40432,2.11927,1.44763,1.17504,0.0008912,0.0008912,0.0008912
58,957.349,0.80838,0.51979,1.01513,0.83164,0.48571,0.58359,0.37454,2.0313,2.18305,1.13979,0.0008714,0.0008714,0.0008714
