epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,975.215,0.75624,0.52523,1.03277,0.80645,0.48571,0.46972,0.29989,2.00529,3.0017,1.14287,0.0008516,0.0008516,0.0008516
60,994.804,0.73938,0.52409,1.00243,0.89306,0.54286,0.56688,0.33244,2.04162,2.05453,1.15422,0.0008318,0.0008318,0.0008318
61,1013.99,0.72238,0.50378,1.03279,0.84852,0.64042,0.70733,0.39096,1.9815,1.64419,1.12533,0.000812,0.000812,0.000812
62,1031.57,0.72818,0.49227,0.97292,0.91587,0.65714,0.77094,0.41866,1.97316,1.42525,1.14928,0.0007922,0.0007922,0.0007922
63,1050.08,0.71786,0.53663,1.01564,0.84975,0.65714,0.73424,0.39686,1.97809,1.4697,1.14914,0.0007724,0.0007724,0.0007724
64,1067.33,0.74866,0.49661,1.03656,0.84676,0.65714,0.69036,0.37749,1.98501,1.61561,1.15603,0.0007526,0.0007526,0.0007526
65,1085.34,0.81926,0.53385,1.10513,0.74873,0.62857,0.64924,0.37821,1.96526,1.76975,1.15791,0.0007328,0.0007328,0.0007328
66,1103.85,0.79483,0.54723,1.02626,0.83786,0.51429,0.59388,0.35723,1.9507,1.91123,1.13105,0.000713,0.000713,0.000713
67,1122.77,0.73343,0.53605,1.04539,0.83278,0.71153,0.75102,0.40784,2.03845,1.37819,1.14635,0.0006932,0.0006932,0.0006932
68,1140.8,0.80751,0.52722,1.0434,0.77709,0.74286,0.74644,0.39719,2.06847,1.24385,1.14369,0.0006734,0.0006734,0.0006734
69,1159.11,0.7216,0.51323,1.02213,0.86202,0.71401,0.79771,0.4079,2.09047,1.23021,1.1553,0.0006536,0.0006536,0.0006536
