epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,748.925,0.96775,0.65459,1.12956,0.64581,0.60792,0.49385,0.16468,2.27404,2.39804,1.158,0.0011684,0.0011684,0.0011684
44,766.482,0.79847,0.5774,1.02287,0.57056,0.57929,0.41817,0.17002,2.13351,2.455,1.11271,0.0011486,0.0011486,0.0011486
45,783.668,0.84236,0.5953,1.0356,0.6025,0.5831,0.51532,0.22505,2.11255,2.21592,1.13156,0.0011288,0.0011288,0.0011288
46,801.025,0.81833,0.58618,1.05022,0.74954,0.5641,0.5732,0.24675,2.1761,2.1254,1.15656,0.001109,0.001109,0.001109
47,818.368,0.78013,0.56347,1.02338,0.6722,0.41026,0.46608,0.17675,2.17628,2.49459,1.12701,0.0010892,0.0010892,0.0010892
48,835.688,0.87602,0.59413,1.06792,0.6863,0.39292,0.42053,0.16482,2.1698,2.78096,1.12312,0.0010694,0.0010694,0.0010694
49,852.911,0.83467,0.5872,1.08466,0.83136,0.51282,0.56607,0.24309,2.17253,2.28246,1.15531,0.0010496,0.0010496,0.0010496
50,870.339,0.75913,0.54559,1.01867,0.88376,0.51282,0.61445,0.26179,2.17351,2.10507,1.14682,0.0010298,0.0010298,0.0010298
51,887.646,0.8715,0.57882,1.06743,0.89963,0.45974,0.55397,0.22212,2.15719,2.27376,1.13061,0.00101,0.00101,0.00101
52,904.784,0.81507,0.57905,1.03344,0.69227,0.46147,0.46791,0.19532,2.18,2.37715,1.14145,0.0009902,0.0009902,0.0009902
53,922.211,0.83267,0.58551,1.05507,0.65687,0.58906,0.54803,0.21915,2.16497,2.17665,1.1248,0.0009704,0.0009704,0.0009704
54,939.793,0.84926,0.56425,1.05224,0.77979,0.63571,0.66174,0.27997,2.14925,2.00246,1.12147,0.0009506,0.0009506,0.0009506
55,957.041,0.81462,0.57739,1.06064,0.8209,0.58974,0.66989,0.28325,2.09824,1.95813,1.1113,0.0009308,0.0009308,0.0009308
56,974.565,0.82577,0.59404,1.05388,0.7085,0.56099,0.59849,0.25,2.10637,2.00537,1.11924,0.000911,0.000911,0.000911
57,991.825,0.7966,0.55524,1.03469,0.59346,0.44939,0.44366,0.17659,2.21695,2.48851,1.15642,0.0008912,0.0008912,0.0008912
58,1009.14,0.87194,0.5985,1.11924,0.64853,0.4359,0.47558,0.18858,2.27131,2.46936,1.16603,0.0008714,0.0008714,0.0008714
59,1026.5,0.75116,0.51969,1.03921,0.8268,0.51282,0.5796,0.23829,2.18226,2.29044,1.13878,0.0008516,0.0008516,0.0008516
