epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0362,0.66572,2.59602,0.95346,0.00333,1,0.00888,0.00583,1.15438,4.19847,0.93607,0.00022,0.00022,0.00022
2,19.5672,0.55017,1.24426,0.88031,0.00333,1,0.00938,0.00718,0.9094,4.11595,0.8617,0.000455446,0.000455446,0.000455446
3,29.1205,0.60415,1.24752,0.88517,0.00333,1,0.00765,0.00571,0.91425,4.06144,0.88876,0.00068614,0.00068614,0.00068614
4,38.4245,0.63812,1.23503,0.90607,0.00333,1,0.03589,0.01473,1.02713,3.97037,0.90871,0.000912082,0.000912082,0.000912082
5,48.4014,0.58547,1.03472,0.89811,0.25047,0.45833,0.26546,0.16315,1.07753,3.52416,0.91061,0.00113327,0.00113327,0.00113327
6,58.7188,0.64323,1.19107,0.9159,0.00333,1,0.22605,0.14049,1.18306,3.45283,0.93092,0.00134971,0.00134971,0.00134971
7,68.7647,0.59208,1.05151,0.87798,0.50502,0.46796,0.4342,0.24019,1.46953,3.36081,0.96398,0.0015614,0.0015614,0.0015614
8,78.9159,0.65612,1.09421,0.92694,0.09436,0.19123,0.11288,0.06462,1.31313,3.50054,0.96212,0.00176833,0.00176833,0.00176833
9,89.0285,0.57099,1.01991,0.90455,0.34775,0.375,0.24634,0.12171,1.44688,3.36783,0.98224,0.0018416,0.0018416,0.0018416
10,98.9588,0.55554,0.98327,0.89316,0.18721,0.5,0.13993,0.07341,1.37822,4.38463,0.943,0.0018218,0.0018218,0.0018218
11,108.971,0.57832,0.9118,0.90456,0.67269,0.59989,0.60028,0.35939,1.23211,3.41147,0.90506,0.001802,0.001802,0.001802
12,118.995,0.58178,0.83931,0.89083,0.73586,0.54167,0.6254,0.36888,1.29383,3.30311,0.92068,0.0017822,0.0017822,0.0017822
13,129.079,0.56954,0.88303,0.89786,0.93595,0.6095,0.77495,0.523,1.16522,2.5093,0.90081,0.0017624,0.0017624,0.0017624
14,139.068,0.55757,0.84798,0.88019,0.78713,0.95833,0.92724,0.67003,1.10091,2.08066,0.88519,0.0017426,0.0017426,0.0017426
15,149.097,0.52835,0.81795,0.88581,0.93056,0.91667,0.96436,0.71991,0.99841,1.81141,0.87966,0.0017228,0.0017228,0.0017228
16,159.118,0.53689,0.77526,0.88589,0.9951,0.91667,0.98238,0.72424,0.98019,1.69658,0.88576,0.001703,0.001703,0.001703
17,169.27,0.54175,0.7603,0.88484,0.9112,1,0.97804,0.67674,1.03264,1.62262,0.89687,0.0016832,0.0016832,0.0016832
18,179.277,0.49961,0.71276,0.86909,0.94329,0.95833,0.96417,0.6685,1.07343,1.58471,0.92763,0.0016634,0.0016634,0.0016634
19,189.303,0.53874,0.77885,0.89493,0.95962,0.99048,0.9934,0.66864,1.14979,1.46165,0.98397,0.0016436,0.0016436,0.0016436
20,199.413,0.56496,0.75675,0.88807,1,0.95702,0.99056,0.63401,1.13142,1.42339,0.96071,0.0016238,0.0016238,0.0016238
21,209.245,0.54045,0.70739,0.8996,0.846,0.91559,0.94106,0.67451,1.12519,1.62263,0.92091,0.001604,0.001604,0.001604
22,219.342,0.53562,0.68411,0.86379,0.88489,0.91667,0.96985,0.67799,1.11326,1.53571,0.90842,0.0015842,0.0015842,0.0015842
23,229.431,0.5177,0.6926,0.8828,0.99575,0.95833,0.9934,0.64978,1.22277,1.23481,0.95797,0.0015644,0.0015644,0.0015644
24,239.443,0.53194,0.64884,0.8768,0.95674,1,0.9934,0.66768,1.18599,1.14438,0.94283,0.0015446,0.0015446,0.0015446
25,249.748,0.55717,0.66145,0.87979,0.9959,1,0.995,0.71185,1.10495,1.12427,0.9081,0.0015248,0.0015248,0.0015248
26,259.829,0.55581,0.68027,0.8731,0.99604,1,0.995,0.67397,1.13401,1.25002,0.90382,0.001505,0.001505,0.001505
27,270.016,0.53196,0.64289,0.87024,0.88798,0.99117,0.93278,0.60683,1.08192,1.50166,0.9022,0.0014852,0.0014852,0.0014852
28,279.98,0.51724,0.61167,0.87153,0.66617,0.95833,0.845,0.55748,1.10193,1.80372,0.91414,0.0014654,0.0014654,0.0014654
29,290.134,0.51661,0.59954,0.88194,0.58047,0.91667,0.83445,0.54118,1.25316,2.22975,0.97451,0.0014456,0.0014456,0.0014456
30,300.235,0.50463,0.57323,0.84691,0.36656,0.875,0.37589,0.23816,1.2863,2.38746,0.98764,0.0014258,0.0014258,0.0014258
31,310.245,0.49451,0.59165,0.88546,0.95824,0.95616,0.99026,0.60526,1.28678,1.45884,0.9865,0.001406,0.001406,0.001406
32,320.353,0.49308,0.5788,0.86193,0.99348,1,0.995,0.58713,1.3392,1.28079,0.99671,0.0013862,0.0013862,0.0013862
33,330.409,0.48071,0.52591,0.85291,0.99688,1,0.995,0.54967,1.42571,1.20726,0.99976,0.0013664,0.0013664,0.0013664
34,340.349,0.48587,0.5388,0.87246,1,0.99006,0.995,0.54049,1.46953,1.15515,1.00246,0.0013466,0.0013466,0.0013466
35,350.283,0.45158,0.55361,0.84721,0.99817,1,0.995,0.58037,1.35418,1.1805,0.96368,0.0013268,0.0013268,0.0013268
36,360.089,0.45573,0.5182,0.8425,1,0.99527,0.995,0.58766,1.31521,1.15928,0.954,0.001307,0.001307,0.001307
