epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.35,0.72806,2.54969,0.96455,1,0.46176,0.6212,0.50962,0.88288,2.6154,0.9708,0.0003,0.0003,0.0003
2,26.0534,0.64696,1.4633,0.86999,0.915,0.34775,0.77547,0.46453,1.16867,2.77603,1.08202,0.000613862,0.000613862,0.000613862
3,38.5892,0.66615,1.15598,0.89452,0.83352,0.6129,0.68498,0.43249,1.19188,2.43183,1.26139,0.000921388,0.000921388,0.000921388
4,51.7089,0.70968,1.28205,0.91716,0.85605,0.57569,0.65707,0.4246,1.2092,2.51131,1.1556,0.00122258,0.00122258,0.00122258
5,65.2888,0.67603,1.14649,0.87873,0.74587,0.5684,0.64487,0.38986,1.20033,2.33149,1.23876,0.00151743,0.00151743,0.00151743
6,78.7139,0.68011,1.15988,0.91557,0.69422,0.48387,0.63965,0.34716,1.23345,2.41699,1.2987,0.00180595,0.00180595,0.00180595
7,92.2822,0.71752,1.09643,0.91764,0.81242,0.6129,0.76761,0.47612,1.13667,2.08009,1.1755,0.0018812,0.0018812,0.0018812
8,105.753,0.65134,1.51874,0.85188,0.68314,0.58065,0.72833,0.45888,1.055,2.02414,1.08784,0.0018614,0.0018614,0.0018614
9,119.445,0.6611,1.02443,0.90296,0.93615,0.47344,0.7339,0.3981,1.49084,1.91883,1.44569,0.0018416,0.0018416,0.0018416
10,132.88,0.64882,0.94728,0.89948,0.87702,0.87097,0.9065,0.56531,1.28764,1.62296,1.31787,0.0018218,0.0018218,0.0018218
11,146.324,0.68923,0.99804,0.92338,0.87967,0.70755,0.83423,0.50263,1.21888,1.67652,1.24971,0.001802,0.001802,0.001802
12,160.098,0.66909,0.94298,0.92035,0.77345,0.70968,0.79133,0.4971,1.22526,1.6119,1.26648,0.0017822,0.0017822,0.0017822
13,173.611,0.63809,0.91878,0.89583,0.83473,0.81485,0.8904,0.53899,1.27847,1.45316,1.33412,0.0017624,0.0017624,0.0017624
14,187.121,0.66111,0.83592,0.8846,0.86433,0.77419,0.88855,0.49151,1.37061,1.5447,1.40395,0.0017426,0.0017426,0.0017426
15,200.392,0.62416,0.79005,0.90159,0.6769,0.83871,0.67716,0.33385,1.46127,1.90918,1.40276,0.0017228,0.0017228,0.0017228
16,214.045,0.61334,0.74625,0.8805,0.67289,0.66384,0.68064,0.3842,1.34878,1.875,1.47311,0.001703,0.001703,0.001703
17,227.617,0.59332,0.7322,0.90811,0.7813,0.69174,0.70674,0.44154,1.44981,1.73762,1.5305,0.0016832,0.0016832,0.0016832
18,240.889,0.56263,0.73341,0.90493,0.92269,0.77016,0.8293,0.49249,1.40019,1.48785,1.44556,0.0016634,0.0016634,0.0016634
19,254.267,0.60757,0.74746,0.91202,0.88653,0.7564,0.85985,0.49845,1.38339,1.46281,1.38025,0.0016436,0.0016436,0.0016436
20,267.709,0.58119,0.69465,0.9027,0.89195,0.83871,0.85281,0.52333,1.27234,1.33022,1.31356,0.0016238,0.0016238,0.0016238
21,282.121,0.60292,0.66308,0.87548,0.88314,0.73159,0.81081,0.51916,1.22379,1.30223,1.28818,0.001604,0.001604,0.001604
22,295.572,0.61579,0.67254,0.89634,0.87096,0.74194,0.83332,0.49664,1.2798,1.26809,1.32326,0.0015842,0.0015842,0.0015842
23,308.859,0.6178,0.66199,0.89283,0.87726,0.77419,0.86556,0.5547,1.26419,1.2432,1.31539,0.0015644,0.0015644,0.0015644
24,322.119,0.62506,0.66724,0.88916,0.92503,0.79635,0.88619,0.53462,1.28676,1.22934,1.353,0.0015446,0.0015446,0.0015446
25,335.587,0.62577,0.64455,0.89212,0.91333,0.77419,0.85159,0.49796,1.30591,1.24076,1.33741,0.0015248,0.0015248,0.0015248
26,348.95,0.55388,0.60973,0.88889,0.86218,0.80722,0.86597,0.50724,1.23461,1.22246,1.28476,0.001505,0.001505,0.001505
27,362.332,0.54623,0.58618,0.88878,0.87006,0.77419,0.84413,0.49878,1.2823,1.1966,1.31018,0.0014852,0.0014852,0.0014852
28,375.633,0.54685,1.02772,0.82603,0.8904,0.78645,0.81308,0.47821,1.27448,1.32822,1.31422,0.0014654,0.0014654,0.0014654
29,389.132,0.64666,0.63699,0.90711,0.90366,0.60542,0.7077,0.41807,1.40883,1.75307,1.39166,0.0014456,0.0014456,0.0014456
30,402.573,0.56884,0.58144,0.87767,0.91151,0.74194,0.7875,0.48241,1.24261,1.38906,1.31323,0.0014258,0.0014258,0.0014258
